Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
1.6,3038.6748,104729,0.0290,0.0098,0.0074,1.8968,0.0409,  64    1    1, 832    1    1,"update_velocity_halo_kernel(vmesh::VelocityMesh *, unsigned int, unsigned int *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *)"
1.5,2816.9481,16903,0.1667,0.1540,0.0668,0.7143,0.0637,  58    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
1.4,2738.2258,30,91.2742,80.8118,78.6777,116.9516,16.6098,   7   72    1,   4    4    4,"translation_kernel(unsigned int, float, unsigned int *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int, float, split::SplitVector<vmesh::VelocityMesh *, split::split_unified_allocator<vmesh::VelocityMesh *>> *, split::SplitVector<vmesh::VelocityBlockContainer *, split::split_unified_allocator<vmesh::VelocityBlockContainer *>> *, float **, VecSimple<float> **, float *, float *, unsigned int *)"
1.4,2657.0871,118562,0.0224,0.0200,0.0173,0.2414,0.0110,   1    1    1,1024    1    1,"void split::tools::loop_compact_keys<Hashinator::hash_pair<unsigned int, unsigned int>, unsigned int, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::extractAllKeysLoop(split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> &, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T2, split::split_unified_allocator<T2>> &, T3)"
1.4,2629.2110,70186,0.0375,0.0061,0.0033,3.1396,0.0594,   1    1    1,   1    1    1,"resize_vbc_kernel_post(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, unsigned int)"
1.3,2447.7066,14437,0.1695,0.1568,0.0689,0.7617,0.0635,  56    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.9,1758.5886,70200,0.0251,0.0076,0.0058,0.6214,0.0376,  52    1    1,1024    1    1,"update_neighbour_halo_kernel(vmesh::VelocityMesh *, unsigned int, unsigned int **, unsigned int *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *)"
0.8,1468.2983,50304,0.0292,0.0147,0.0110,12.4612,0.0629,  36    1    1,  32    1    1,"evaluate_column_extents_kernel(unsigned int, const vmesh::VelocityMesh *, ColumnOffsets *, Column *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, unsigned int *, unsigned int *, float, float, float, float, int, int, float, float, unsigned int *)"
0.8,1467.1868,70186,0.0209,0.0041,0.0028,3.1198,0.0472,   4    1    1,1024    1    1,"void split::tools::split_compact_raw<Hashinator::hash_pair<unsigned int, unsigned int>, void Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::clean_tombstones<(bool)0>(CUstream_st *)::[lambda(Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024, (unsigned long)32>(T1 *, unsigned int *, unsigned int *, T1 *, T2, unsigned long, unsigned long, unsigned int *)"
0.7,1437.2594,70186,0.0205,0.0033,0.0019,3.0272,0.0388,   4    1    1,1024    1    1,"void split::tools::scan_reduce_raw<Hashinator::hash_pair<unsigned int, unsigned int>, void Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::clean_tombstones<(bool)0>(CUstream_st *)::[lambda(Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)]>(T1 *, unsigned int *, T2, unsigned long)"
