Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
2.1,668.3048,22435,0.0298,0.0098,0.0075,0.9827,0.0435,  64    1    1, 832    1    1,"update_velocity_halo_kernel(vmesh::VelocityMesh *, unsigned int, unsigned int *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *)"
1.8,589.9091,25378,0.0232,0.0200,0.0175,0.2331,0.0137,   1    1    1,1024    1    1,"void split::tools::loop_compact_keys<Hashinator::hash_pair<unsigned int, unsigned int>, unsigned int, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::extractAllKeysLoop(split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> &, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T2, split::split_unified_allocator<T2>> &, T3)"
1.5,488.6154,10394,0.0470,0.0063,0.0034,1.1401,0.0781,   1    1    1,   1    1    1,"resize_vbc_kernel_post(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, unsigned int)"
1.5,473.8281,2016,0.2350,0.2182,0.0897,0.7222,0.0841,  44    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
1.5,466.8479,30,15.5616,13.6007,13.4947,20.3983,3.0420,   9   72    1,   4    4    4,"translation_kernel(unsigned int, float, unsigned int *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int, float, split::SplitVector<vmesh::VelocityMesh *, split::split_unified_allocator<vmesh::VelocityMesh *>> *, split::SplitVector<vmesh::VelocityBlockContainer *, split::split_unified_allocator<vmesh::VelocityBlockContainer *>> *, float **, VecSimple<float> **, float *, float *, unsigned int *)"
0.9,287.7397,1852,0.1554,0.1416,0.0692,0.4869,0.0664,  58    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.9,275.2810,1505,0.1829,0.1808,0.0040,0.6132,0.1098, 912    1    1,   4    4    4,"void spatial_cell::add_blocks_from_buffer_kernel<float>(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, unsigned int, const unsigned int *, const T1 *, unsigned int)"
0.8,260.3010,10776,0.0242,0.0075,0.0058,0.9872,0.0393,  52    1    1,1024    1    1,"update_neighbour_halo_kernel(vmesh::VelocityMesh *, unsigned int, unsigned int **, unsigned int *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *)"
0.8,255.1243,10394,0.0245,0.0034,0.0020,0.9411,0.0484,   4    1    1,1024    1    1,"void split::tools::scan_reduce_raw<Hashinator::hash_pair<unsigned int, unsigned int>, void Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::clean_tombstones<(bool)0>(CUstream_st *)::[lambda(Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)]>(T1 *, unsigned int *, T2, unsigned long)"
0.7,239.0919,10394,0.0230,0.0041,0.0028,0.9680,0.0458,   4    1    1,1024    1    1,"void split::tools::split_compact_raw<Hashinator::hash_pair<unsigned int, unsigned int>, void Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::clean_tombstones<(bool)0>(CUstream_st *)::[lambda(Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024, (unsigned long)32>(T1 *, unsigned int *, unsigned int *, T1 *, T2, unsigned long, unsigned long, unsigned int *)"
